"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV105"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__tricinctum"
"ASV106"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Alternaria"	"s__prunicola"
"ASV107"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Calonectria"	NA
"ASV108"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Auriculariales"	"f__Auriculariales_fam_Incertae_sedis"	"g__Oliveonia"	NA
"ASV109"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Nectria"	"s__ramulariae"
"ASV110"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Myxotrichaceae"	"g__Oidiodendron"	NA
"ASV111"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	NA	NA	NA	NA
"ASV112"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Ilyonectria"	NA
"ASV113"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Tricholomataceae_gen_Incertae_sedis"	NA
"ASV114"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	NA	NA	NA
"ASV115"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Hydnaceae"	"g__Sistotrema"	NA
"ASV116"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusicolla"	"s__septimanifiniscientiae"
"ASV117"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Flagelloscypha"	NA
"ASV118"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Bolbitiaceae"	"g__Cyclocybe"	NA
"ASV119"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymellaceae"	"g__Didymella"	NA
