"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1903"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Gloniales"	"f__Gloniaceae"	"g__Cenococcum"	NA
"ASV1904"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Podila"	"s__minutissima"
"ASV1905"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Clavicipitaceae"	"g__Metapochonia"	"s__rubescens"
"ASV1906"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariomycetes_ord_Incertae_sedis"	"f__Junewangiaceae"	"g__Junewangiaceae_gen_Incertae_sedis"	NA
"ASV1907"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	NA	NA
"ASV1908"	"k__Fungi"	"p__Ascomycota"	"c__Orbiliomycetes"	"o__Orbiliales"	"f__Orbiliaceae"	"g__Arthrobotrys"	NA
"ASV1909"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Magnaporthales"	NA	NA	NA
"ASV1910"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	NA	NA
"ASV1911"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV1912"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Ophiostomatales"	"f__Ophiostomataceae"	"g__Sporothrix"	"s__inflata"
"ASV1913"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomeraceae_gen_Incertae_sedis"	NA
"ASV1914"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1915"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Onygenales"	NA	NA	NA
"ASV1916"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Exophiala"	"s__moniliae"
"ASV1917"	"k__Fungi"	"p__Basidiomycota"	"c__Microbotryomycetes"	"o__Microbotryomycetes_ord_Incertae_sedis"	"f__Chrysozymaceae"	"g__Udeniozyma"	NA
"ASV1918"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1919"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	NA	NA	NA
"ASV1920"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV1921"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Dermateaceae"	"g__Trichosporiella"	"s__multisporum"
"ASV1922"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	"f__Rhizophydiaceae"	"g__Rhizophydium"	NA
"ASV1923"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1924"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Parabambusicolaceae"	"g__Paramonodictys"	"s__hongheensis"
"ASV1925"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Candolleomyces"	"s__candolleanus"
"ASV1926"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Tubeufiales"	"f__Tubeufiaceae"	"g__Helicosporium"	"s__indicum"
"ASV1927"	"k__Fungi"	"p__Basidiomycota"	"c__Microbotryomycetes"	"o__Sporidiobolales"	"f__Sporidiobolales_fam_Incertae_sedis"	"g__Sporidiobolales_gen_Incertae_sedis"	NA
"ASV1928"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	NA	NA
"ASV1929"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	"s__claroideum"
"ASV1930"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1931"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV1932"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	NA	NA
"ASV1933"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	NA
"ASV1934"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV1935"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Plectosphaerellaceae"	"g__Plectosphaerella"	NA
"ASV1936"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Sporormiaceae"	"g__Preussia"	"s__persica"
"ASV1937"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Curvularia"	"s__canadensis"
"ASV1938"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Dictyosporiaceae"	NA	NA
"ASV1939"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV1940"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV1941"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Entolomataceae"	"g__Clitopilus"	"s__prunulus"
"ASV1942"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1943"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Polyporales"	"f__Polyporaceae"	"g__Perenniporia"	"s__formosana"
"ASV1944"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Valsariales"	"f__Valsariaceae"	"g__Valsaria"	"s__insitiva"
"ASV1945"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Lentitheciaceae"	"g__Murilentithecium"	"s__clematidis"
"ASV1946"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	"g__Gorgomyces"	"s__honrubiae"
"ASV1947"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Niessliaceae"	NA	NA
"ASV1948"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Talaromyces"	"s__rugulosus"
"ASV1949"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1950"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV1951"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Linnemannia"	"s__amoeboidea"
"ASV1952"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	"s__aurea"
"ASV1953"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Gigasporales"	"f__Gigasporaceae"	"g__Gigaspora"	"s__margarita"
"ASV1954"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Nigrogranaceae"	"g__Nigrograna"	"s__jinghongensis"
"ASV1955"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Minutisphaerales"	"f__Minutisphaeraceae"	"g__Minutisphaera"	"s__aspera"
"ASV1956"	"k__Fungi"	"p__Glomeromycota"	"c__Archaeosporomycetes"	"o__Archaeosporales"	"f__Ambisporaceae"	"g__Ambispora"	NA
"ASV1957"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomeraceae_gen_Incertae_sedis"	NA
"ASV1958"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymosphaeriaceae"	NA	NA
"ASV1959"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Venturiales"	"f__Venturiaceae"	"g__Sympodiella"	"s__quercina"
"ASV1960"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV1961"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Parasola"	NA
"ASV1962"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Pisorisporiales"	"f__Pisorisporiaceae"	"g__Achroceratosphaeria"	NA
"ASV1963"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	"g__Alatospora"	"s__acuminata"
"ASV1964"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Halosphaeriaceae"	"g__Cirrenalia"	NA
"ASV1965"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Trechisporales"	"f__Hydnodontaceae"	"g__Trechispora"	NA
"ASV1966"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Agaricaceae"	"g__Agaricaceae_gen_Incertae_sedis"	NA
"ASV1967"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycotina_cls_Incertae_sedis"	"o__Pezizomycotina_ord_Incertae_sedis"	"f__Pezizomycotina_fam_Incertae_sedis"	"g__Triscelophorus"	NA
"ASV1968"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Roussoellaceae"	"g__Neoroussoella"	NA
"ASV1969"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiales_fam_Incertae_sedis"	"g__Chalara"	"s__pseudoaffinis"
"ASV1970"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Rhytismatales"	"f__Rhytismataceae"	"g__Rhytismataceae_gen_Incertae_sedis"	NA
"ASV1971"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	NA	NA
"ASV1972"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Elaphomycetaceae"	"g__Elaphomyces"	"s__virgatosporus"
"ASV1973"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	NA	NA
"ASV1974"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV1975"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Coniochaetales"	"f__Coniochaetaceae"	"g__Coniochaeta"	"s__cypraeispora"
"ASV1976"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1977"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__brasilianum"
"ASV1978"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Pluteaceae"	"g__Pluteus"	"s__longistriatus"
"ASV1979"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Thelephorales"	"f__Thelephoraceae"	"g__Tomentella"	"s__punicea"
"ASV1980"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Thelebolales"	"f__Pseudeurotiaceae"	"g__Leuconeurospora"	NA
"ASV1981"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Mollisiaceae"	"g__Mollisiaceae_gen_Incertae_sedis"	NA
"ASV1982"	"k__Fungi"	"p__Ascomycota"	"c__Archaeorhizomycetes"	"o__Archaeorhizomycetales"	"f__Archaeorhizomycetaceae"	"g__Archaeorhizomyces"	NA
"ASV1983"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Scytalidium"	"s__circinatum"
"ASV1984"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Annulatascales"	"f__Annulatascales_fam_Incertae_sedis"	"g__Annulatascales_gen_Incertae_sedis"	NA
"ASV1985"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Clavicipitaceae"	"g__Clavicipitaceae_gen_Incertae_sedis"	NA
"ASV1986"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Teratosphaeriaceae"	"g__Teratosphaeria"	NA
"ASV1987"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Geastrales"	"f__Geastraceae"	"g__Geastrum"	"s__morganii"
"ASV1988"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Lachnum"	"s__pygmaeum"
"ASV1989"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1990"	"k__Fungi"	"p__Mucoromycota"	"c__Mucoromycotina_cls_Incertae_sedis"	"o__Mucoromycotina_ord_Incertae_sedis"	"f__Mucoromycotina_fam_Incertae_sedis"	"g__Bifiguratus"	NA
"ASV1991"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Dictyosporiaceae"	"g__Pseudoconiothyrium"	"s__broussonetiae"
"ASV1992"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Gloniales"	"f__Gloniaceae"	"g__Cenococcum"	"s__geophilum"
"ASV1993"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV1994"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Trichomeriaceae"	"g__Lithohypha"	"s__aloicola"
"ASV1995"	"k__Fungi"	"p__Chytridiomycota"	NA	NA	NA	NA	NA
"ASV1996"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Rhynchogastremataceae"	"g__Papiliotrema"	"s__nemorosa"
"ASV1997"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Xylariaceae"	"g__Nemania"	"s__caries"
"ASV1998"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Venturiales"	"f__Venturiaceae"	"g__Pseudoanungitea"	NA
"ASV1999"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Rhynchogastremataceae"	"g__Rhynchogastrema"	"s__coronatum"
"ASV2000"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	NA	NA	NA	NA
"ASV2001"	"k__Fungi"	"p__Ascomycota"	"c__GS37"	"o__GS37_ord_Incertae_sedis"	"f__GS37_fam_Incertae_sedis"	"g__GS37_gen_Incertae_sedis"	NA
"ASV2002"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	NA	NA	NA
"ASV2003"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sporidesmiales"	"f__Sporidesmiaceae"	"g__Sporidesmium"	NA
"ASV2004"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Marasmiaceae"	"g__Marasmius"	"s__rotula"
"ASV2005"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV2006"	"k__Fungi"	"p__Aphelidiomycota"	"c__Aphelidiomycetes"	"o__GS16"	"f__GS16_fam_Incertae_sedis"	"g__GS16_gen_Incertae_sedis"	NA
"ASV2007"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Myrmecridiales"	"f__Myrmecridiales_fam_Incertae_sedis"	"g__Atractospora"	"s__decumbens"
"ASV2008"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Graphostromataceae"	"g__Biscogniauxia"	"s__mediterranea"
"ASV2009"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	"s__nigrum"
"ASV2010"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Minutisphaerales"	"f__Acrogenosporaceae"	"g__Acrogenospora"	"s__thailandica"
"ASV2011"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2012"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Spizellomycetales_fam_Incertae_sedis"	"g__Spizellomycetales_gen_Incertae_sedis"	NA
"ASV2013"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	NA	NA
"ASV2014"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Spizellomycetales_fam_Incertae_sedis"	"g__Spizellomycetales_gen_Incertae_sedis"	NA
"ASV2015"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__multispora"
"ASV2016"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Trimorphomycetaceae"	"g__Saitozyma"	"s__podzolica"
"ASV2017"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2018"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Dothideales"	"f__Saccotheciaceae"	"g__Aureobasidium"	"s__pullulans"
"ASV2019"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Mollisiaceae"	"g__Phialocephala"	"s__catenospora"
"ASV2020"	"k__Fungi"	"p__Ascomycota"	"c__Lichinomycetes"	"o__Lichinales"	"f__Lichinaceae"	"g__Phylliscum"	NA
"ASV2021"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Trechisporales"	"f__Hydnodontaceae"	"g__Trechispora"	"s__caucasica"
"ASV2022"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Teratosphaeriaceae"	"g__Devriesia"	NA
"ASV2023"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Ascobolaceae"	"g__Ascobolus"	NA
"ASV2024"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	NA
"ASV2025"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Podosporaceae"	"g__Podospora"	"s__jamaicensis"
"ASV2026"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV2027"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	"s__constrictum"
"ASV2028"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Porodiplodiaceae"	"g__Endoradiciella"	"s__communis"
"ASV2029"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Talaromyces"	"s__neofusisporus"
"ASV2030"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Teratosphaeriaceae"	"g__Devriesia"	NA
"ASV2031"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Apodus"	"s__deciduus"
"ASV2032"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV2033"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Dictyosporiaceae"	"g__Pseudoconiothyrium"	"s__broussonetiae"
"ASV2034"	"k__Fungi"	"p__Entorrhizomycota"	"c__Entorrhizomycetes"	"o__Entorrhizales"	"f__Entorrhizaceae"	"g__Entorrhiza"	NA
"ASV2035"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV2036"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV2037"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Periconiaceae"	"g__Periconia"	NA
"ASV2038"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomeraceae_gen_Incertae_sedis"	NA
"ASV2039"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV2040"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__cassiae"
"ASV2041"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	NA	NA	NA
"ASV2042"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2043"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV2044"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymosphaeriaceae"	NA	NA
"ASV2045"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2046"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Venturiales"	"f__Cylindrosympodiaceae"	"g__Cylindrosympodium"	NA
"ASV2047"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV2048"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Phomatosporales"	"f__Phomatosporaceae"	"g__Phomatospora"	NA
"ASV2049"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariomycetes_ord_Incertae_sedis"	"f__Sordariomycetes_fam_Incertae_sedis"	"g__Oncopodiella"	NA
"ASV2050"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Atractosporales"	"f__Atractosporales_fam_Incertae_sedis"	"g__Atractosporales_gen_Incertae_sedis"	NA
"ASV2051"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Sarcosomataceae"	"g__Donadinia"	"s__seaveri"
"ASV2052"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV2053"	"k__Fungi"	"p__Basidiobolomycota"	"c__Basidiobolomycetes"	"o__Basidiobolales"	"f__Basidiobolales_fam_Incertae_sedis"	"g__Basidiobolales_gen_Incertae_sedis"	NA
"ASV2054"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2055"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Xylariaceae"	"g__Xylaria"	"s__polymorpha"
"ASV2056"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Hymenogastraceae"	"g__Hymenogaster"	NA
"ASV2057"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Exophiala"	"s__moniliae"
"ASV2058"	"k__Fungi"	"p__Ascomycota"	"c__Saccharomycetes"	"o__Saccharomycetales"	"f__Phaffomycetaceae"	"g__Cyberlindnera"	"s__saturnus"
"ASV2059"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2060"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Coprinopsis"	"s__rugosobispora"
"ASV2061"	"k__Fungi"	"p__Ascomycota"	"c__Saccharomycetes"	"o__Saccharomycetales"	"f__Saccharomycetales_fam_Incertae_sedis"	"g__Candida"	"s__parapsilosis"
"ASV2062"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Sporormiaceae"	"g__Preussia"	"s__persica"
"ASV2063"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Niessliaceae"	"g__Niesslia"	"s__tenuis"
"ASV2064"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Pluteaceae"	"g__Pluteus"	"s__phlebophorus"
"ASV2065"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	"f__Cladosporiaceae"	"g__Toxicocladosporium"	"s__irritans"
"ASV2066"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Xylariaceae"	"g__Ascovirgaria"	NA
"ASV2067"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Rhynchogastremataceae"	"g__Rhynchogastrema"	"s__coronatum"
"ASV2068"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tubariaceae"	"g__Tubariaceae_gen_Incertae_sedis"	NA
"ASV2069"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Dermateaceae"	"g__Coleophoma"	NA
"ASV2070"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV2071"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Hydnaceae"	"g__Membranomyces"	NA
